15 ||| 06-Jun-16 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
15 ||| 05-May-16 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 06-Apr-16 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 04-Mar-16 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 04-Feb-16 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 07-Jan-16 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 04-Dec-15 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 05-Nov-15 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE
13 ||| 06-Oct-15 12:00:00 AM +00:00 ||| MONTHLY SERVICE FEE

5 ||| 06-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - FOCUSOUT FOCUSOUT.CO
5 ||| 04-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - FOCUSOUT FOCUSOUT.CO
5 ||| 05-Jul-16 12:00:00 AM +00:00 ||| Recurring Payment - FOCUSOUT FOCUSOUT.CO
5 ||| 06-Jun-16 12:00:00 AM +00:00 ||| Recurring Payment - FOCUSOUT FOCUSOUT.CO
5 ||| 04-May-16 12:00:00 AM +00:00 ||| Recurring Payment - FOCUSOUT HTTPFOCUSOUT.

255 ||| 27-Jul-16 12:00:00 AM +00:00 ||| THE PERFECT WORKOU
255 ||| 27-Jun-16 12:00:00 AM +00:00 ||| THE PERFECT WORKOU
255 ||| 31-May-16 12:00:00 AM +00:00 ||| THE PERFECT WORKOU
255 ||| 28-Apr-16 12:00:00 AM +00:00 ||| THE PERFECT WORKOU

34.99 ||| 06-Apr-16 12:00:00 AM +00:00 ||| Recurring Payment - 24HOUR FITNESS USA
34.99 ||| 07-Mar-16 12:00:00 AM +00:00 ||| Recurring Payment - 24HOUR FITNESS USA
34.99 ||| 08-Feb-16 12:00:00 AM +00:00 ||| Recurring Payment - 24HOUR FITNESS USA
34.99 ||| 06-Jan-16 12:00:00 AM +00:00 ||| Recurring Payment - 24HOUR FITNESS USA

59.99 ||| 15-Mar-16 12:00:00 AM +00:00 ||| Recurring Payment - CHARTER COMMUNICAT
59.99 ||| 16-Feb-16 12:00:00 AM +00:00 ||| Recurring Payment - CHARTER COMMUNICAT
59.99 ||| 13-Jan-16 12:00:00 AM +00:00 ||| Recurring Payment - CHARTER COMMUNICAT
59.99 ||| 14-Dec-15 12:00:00 AM +00:00 ||| Recurring Payment - CHARTER COMMUNICAT
59.99 ||| 13-Nov-15 12:00:00 AM +00:00 ||| Recurring Payment - CHARTER COMMUNICAT

25 ||| 09-Oct-15 12:00:00 AM +00:00 ||| Recurring Payment - GITHUB.COM 6RZ70
25 ||| 10-Aug-15 12:00:00 AM +00:00 ||| Recurring Payment - GITHUB.COM 6RZ70
25 ||| 09-Jul-15 12:00:00 AM +00:00 ||| Recurring Payment - GITHUB.COM 6RZ70
25 ||| 09-Jun-15 12:00:00 AM +00:00 ||| Recurring Payment - GITHUB.COM 6RZ70
25 ||| 11-May-15 12:00:00 AM +00:00 ||| Recurring Payment - GITHUB.COM 6RZ70
25 ||| 09-Apr-15 12:00:00 AM +00:00 ||| Recurring Payment - GH GITHUB.COM 6R

44.03 ||| 15-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
33.7 ||| 15-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
38.26 ||| 12-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
41.56 ||| 09-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
55.01 ||| 07-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
46.14 ||| 06-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
37.9 ||| 01-Sep-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
31.12 ||| 29-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
36.92 ||| 29-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
14.52 ||| 29-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
35.7 ||| 24-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
66.22 ||| 22-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
22.69 ||| 19-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
28.81 ||| 15-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
25.22 ||| 11-Aug-16 12:00:00 AM +00:00 ||| Recurring Payment - DOORDASH.COM
